year,production_hydro,production_nuclear,production_therm_and_renewable,production_total,production_hydro_losses,production_total_netto,import,export,consumption_country,losses,consumation_final,import_export_balance,population,consumption_per_person
1960,20504,0,168,20672,245,20427,1306,3822,17911,2020,15891,-2516,5360153,3.341509095
1961,21526,0,174,21700,211,21489,1530,4249,18770,2029,16741,-2719,5508435,3.407501405
1962,21186,0,231,21417,327,21090,3184,4443,19831,2115,17716,-1259,5639195,3.516636683
1963,22549,0,254,22803,358,22445,3419,5119,20745,2262,18483,-1700,5749299,3.608265982
1964,22104,0,304,22408,393,22015,4213,4662,21566,2220,19346,-449,5829156,3.699677964
1965,24797,0,491,25288,500,24788,2843,5115,22516,2295,20221,-2272,5883788,3.826786417
1966,27797,0,652,28449,589,27860,1578,6298,23140,2432,20708,-4720,5952216,3.887627734
1967,29898,0,897,30795,578,30217,2035,8209,24043,2516,21527,-6174,6031353,3.986336068
1968,29441,0,1324,30765,577,30188,2357,7601,24944,2507,22437,-5244,6104074,4.086451114
1969,27327,563,1521,29411,567,28844,5161,7656,26349,2650,23699,-2495,6168700,4.271402402
1970,31273,1850,1763,34886,965,33921,3594,9619,27896,2809,25087,-6025,6193064,4.504393948
1971,27563,1843,2181,31587,1377,30210,6873,7953,29130,2882,26248,-1080,6233744,4.672954167
1972,25277,4650,2371,32298,1644,30654,7847,8329,30172,3031,27141,-482,6288168,4.798217859
1973,28825,5896,2434,37155,1724,35431,7018,10516,31933,3159,28774,-3498,6326525,5.047478671
1974,28563,6730,2117,37410,1541,35869,6274,9505,32638,3071,29567,-3231,6356285,5.13476032
1975,33974,7391,1629,42994,1198,41796,4635,14360,32071,3168,28903,-9725,6320978,5.073740171
1976,26622,7561,2058,36241,1344,34897,7179,9094,32982,3079,29903,-1915,6284029,5.24854357
1977,36290,7728,1885,45903,1277,44626,5046,15231,34441,3152,31289,-10185,6278319,5.485704055
1978,32510,7995,1845,42350,1361,40989,7653,13047,35595,3131,32464,-5394,6285156,5.663343917
1979,32345,11243,1963,45551,1586,43965,8868,15915,36918,3152,33766,-7047,6303573,5.856678427
1980,33542,13663,957,48162,1531,46631,9947,18128,38450,3198,35252,-8181,6335243,6.069222601
1981,36097,14462,956,51515,1395,50120,9839,20551,39408,3214,36194,-10712,6372904,6.183680156
1982,37035,14276,974,52285,1532,50753,9041,19868,39926,3195,36731,-10827,6409713,6.228984043
1983,36002,14821,996,51819,1346,50473,11149,20395,41227,3257,37970,-9246,6427833,6.413825624
1984,30872,17396,884,49152,1444,47708,16306,21001,43013,3348,39665,-4695,6455896,6.662591839
1985,32677,21281,869,54827,1364,53463,15579,24277,44765,3444,41321,-8698,6484834,6.903029438
1986,33589,21303,988,55880,1461,54419,14512,23098,45833,3485,42348,-8586,6523413,7.025923393
1987,35412,21701,1048,58161,1564,56597,12710,22165,47142,3551,43591,-9455,6566799,7.178840102
1988,36439,21502,1023,58964,1445,57519,15106,24727,47898,3571,44327,-9621,6619973,7.235376942
1989,30485,21543,1082,53110,1454,51656,21933,24449,49140,3638,45502,-2516,6673850,7.363066296
1990,30675,22298,1101,54074,1695,52379,22799,24907,50271,3693,46578,-2108,6750693,7.446791018
1991,33082,21654,1342,56078,1946,54132,24005,26801,51336,3750,47586,-2796,6842768,7.502227169
1992,33725,22121,1502,57348,1438,55910,21757,26046,51621,3755,47866,-4289,6907959,7.472684768
1993,36253,22029,1031,59313,1186,58127,23854,31053,50928,3689,47239,-7199,6968570,7.308242581
1994,39556,22984,1121,63661,1271,62390,22723,34566,50547,3650,46897,-11843,7019019,7.201433705
